prompt_id,prompt,prompt_category,vague_language,spelling_errors,answerable,complexity,expected_layout,expected_charts
62,Can you analyze the ratios of crime types in total incidents occurred?,compute derived value,False,False,True,2,focused,"[""bar""]"
63,How many reports of human trafficking don't have a documented location?,compute derived value,False,False,False,1,,[]
64,Could you provide a breakup of the crime types and their total number of victims?,compute derived value,True,False,True,2,focused,"[""bar""]"
65,Show me the numbber of crime reports from various countries.,compute derived value,False,True,True,1,focused,"[""bar"", ""geoshape""]"
66,Display count of incidents over the last several year?,compute derived value,True,True,True,2,focused,"[""line"", ""area""]"
67,Graph the variation in number of victims by crime types during various seasons.,compute derived value,False,False,False,3,,[]
68,Illustrate the trends in perpetrator nationality reports over the past few years.,compute derived value,True,False,True,3,focused,"[""line""]"
69,Capture the total count of confirmed human trafficking cases by regions.,compute derived value,False,False,True,1,focused,"[""geoshape""]"
70,Can I see an itractive map of the most frequent locations for trafficking incidents?,compute derived value,False,True,True,2,focused,"[""geoshape""]"
71,Demonstrate the total victim count alongside their originating countries on a visual.,compute derived value,False,False,True,2,focused,"[""bar"", ""geoshape""]"
72,How often do incidents of trafficking with high confidence levels occur?,compute derived value,False,False,True,1,focused,"[""bar""]"
73,Generate a projection of the primary types of trafficked crime for the next period.,compute derived value,True,False,True,4,focused,"[""bar"", ""line""]"
74,Which country has the highest number of human trafficking incidents reported?,find extremum,False,False,True,1,focused,"[""bar""]"
75,Show the regions with the least cases of sex trafficking.,find extremum,False,False,True,1,focused,"[""bar""]"
76,Can you display which nationality of victims is most common in high-confidence reports?,find extremum,False,False,True,2,focused,"[""bar""]"
77,Which country has been reporting increasingly high numbers of trafficking incidents recently?,find extremum,True,False,True,3,focused,"[""line""]"
78,Who reports the lowest count of human traficking cases?,find extremum,False,True,True,1,focused,"[""bar""]"
79,Identify the country with maximum reported incidents of forced labor.,find extremum,False,False,True,1,focused,"[""bar""]"
80,What are the regions with the highest victim counts?,find extremum,True,False,True,1,focused,"[""bar"", ""geoshape""]"
81,Plot the top 5 countries by number of human trafficking cases this year.,find extremum,False,False,True,2,focused,"[""bar"", ""geoshape""]"
82,What is the country with teh least incidents reported?,find extremum,False,True,True,1,focused,"[""bar""]"
83,which country reports the most cases of human traficking?,find extremum,False,True,True,1,focused,"[""bar""]"
84,Rank countries with the highest number of human trafficking cases.,find extremum,False,False,True,1,focused,"[""bar""]"
85,Find the most frequent victim nationality across all cases.,find extremum,True,False,True,1,focused,"[""bar"", ""arc""]"
86,Display the top perpetrator nationalities in reported trafficking incidents.,find extremum,False,False,True,2,focused,"[""bar"", ""arc""]"
87,What region has the fewest reports of human trafficking this year?,find extremum,False,False,True,2,focused,"[""bar"", ""geoshape""]"
88,Show me the crimes with the highest number of victims.,find extremum,True,False,True,1,focused,"[""bar"", ""arc""]"
89,Which countrys hav the lowest incidents of human traficing?,find extremum,False,True,True,1,focused,"[""bar""]"
90,Who has the highest number of trafficking incidents?,find extremum,False,False,True,0,focused,"[""bar""]"
91,Which regions have a high amount of forced labor cases?,find extremum,True,False,True,1,focused,"[""bar"", ""geoshape""]"
92,Identify the major locations by the number of trafficking incidents occurred.,find extremum,False,False,True,1,focused,"[""bar"", ""geoshape""]"
93,Provide a ranking of countries based on the number of trafficking cases.,find extremum,False,False,True,1,focused,"[""bar""]"
94,Map out the global hotspots for human trafficking incidents.,find extremum,False,False,True,1,focused,"[""geoshape""]"
95,Show which countries have never reported any human trafficking cases.,find extremum,False,False,False,1,,[]
96,Which region has experienced the most significant decrease in reported trafficking cases over the past decade?,find extremum,False,False,False,3,,[]
97,Top countries with increased victim counts from the last year to this year.,find extremum,False,False,True,2,focused,"[""line"", ""bar""]"
98,Show the region with minimal reports of forced labour cases in recent times.,find extremum,True,False,True,2,focused,"[""bar"", ""geoshape""]"
99,Show me a list of countries ranked by the number of reported human trafficking incidents.,sort,False,False,True,0,focused,"[""bar""]"
100,Cna you rank the countries based on number of trafficking incidents they reported?,sort,False,True,True,0,focused,"[""bar""]"
101,Can you display the regions sorted by how many incidents have been recorded there?,sort,False,False,True,0,focused,"[""bar""]"
102,Which type of crime is most frequently reported in terms of sorted order?,sort,False,False,True,0,focused,"[""bar""]"
103,Order perpetrators' nationalities by the number of associated trafficking cases.,sort,False,False,True,1,focused,"[""bar""]"
104,I need to see the types of human traficking crimes sorted as per the number of victims involved.,sort,True,False,True,1,focused,"[""bar""]"
105,Rank different crimes by the date they were reported most recently.,sort,False,False,True,3,focused,"[""line"", ""area""]"
106,Visualize how the different types of trafficking crimes are sorted by their reported frequency over the last year.,sort,True,False,True,3,focused,"[""line"", ""bar""]"
107,"When looking at victim nationalities, can you rank them based on the total incidents reported?",sort,False,False,True,0,focused,"[""bar""]"
108,Rank the countries based on high confidnce incident reports related to human trafficing.,sort,False,True,True,1,focused,"[""bar""]"
109,How can we order the countries from most to least incidents in a chart?,sort,True,False,True,0,focused,"[""bar""]"
110,Sort all the traficking incident types by the number of victims.,sort,False,True,True,0,focused,"[""bar""]"
111,Identify which region has highest number of trafficking incident reports using a sorted chart.,sort,False,False,True,0,focused,"[""bar""]"
112,Can you sort countries with their latest crime report dates?,sort,True,False,True,3,focused,"[""line""]"
113,Could you rank crimes by the confidence level of their reports?,sort,False,False,True,0,focused,"[""bar""]"
114,Show the sorting of regions by their frequency of trafficking incidents.,sort,False,False,True,0,focused,"[""bar""]"
115,"How to order victims' nationalities with incidents they're involved in, using a graph?",sort,True,False,True,1,focused,"[""bar""]"
116,Rank regions by number of sex trafficking reports.,sort,True,False,True,1,focused,"[""bar""]"
117,Can you show which country has being reporting more on forced labor cases over time?,sort,True,False,True,3,focused,"[""line""]"
118,Rank countries from the most to the least reports on human trafficking incidents.,sort,False,False,True,0,focused,"[""bar""]"
119,Is there a chart that ranks how many time each type of crime has been in the news?,sort,False,False,False,0,,[]
120,Can you identify the top three countries in terms of the number of recorded trafficking cases?,sort,False,False,True,0,focused,"[""bar""]"
121,Create a ranking of locations based on victim counts traced back to their origin countries.,sort,False,True,True,2,focused,"[""bar""]"
122,Display the order of countries by the number of labor exploitation cases reported.,sort,False,False,True,0,focused,"[""bar""]"
123,What are the most common types of reported crimes in descending order.,sort,True,False,True,0,focused,"[""bar""]"
124,Show the span of victim count numbers reported.,determine range,False,False,True,2,focused,"[""bar""]"
125,Can you display the variety of incident dates in the whole dataset?,determine range,False,False,True,1,focused,"[""line"", ""area""]"
126,What's the range of reported dates for incidents?,determine range,False,False,True,1,focused,"[""line"", ""area""]"
127,Can we see the scope of countries from where victims are coming?,determine range,True,False,True,2,informative,"[""geoshape""]"
128,What is the range of loactions this data cover?,determine range,False,True,True,2,informative,"[""geoshape""]"
129,Display the span of crime types documented in the dataset.,determine range,True,False,True,1,focused,"[""bar""]"
130,How broad is the range of crime types covered in the records?,determine range,False,False,True,2,focused,"[""bar""]"
131,What all countrys are represented in the dataset?,determine range,False,True,True,1,informative,"[""geoshape""]"
132,Show the range of perpetrator nationalities in the reports.,determine range,False,False,True,2,focused,"[""bar""]"
133,Can you show a overview of the different crime types reported?,determine range,True,False,True,1,focused,"[""bar""]"
134,Illustrate the distribution of crime types.,determine range,False,False,True,1,focused,"[""bar""]"
135,How many different regions report trafficking incidents and what are they?,determine range,False,False,True,2,informative,"[""geoshape""]"
136,Can you find the range of offender nationalities in this data set?,determine range,False,False,True,2,focused,"[""bar""]"
137,What’s the varierty of victim count values in the data?,determine range,False,True,True,1,focused,"[""bar""]"
138,Exhibit the range of countries covered in these incidents.,determine range,True,False,True,2,informative,"[""geoshape""]"
139,What types of crimes are in this database?,determine range,False,False,True,0,focused,"[""bar""]"
140,Map out the distribution of victim nationalities.,determine range,False,False,True,3,informative,"[""geoshape""]"
141,Display the types of crime and their corresponding frequency.,determine range,False,False,True,2,focused,"[""bar""]"
142,List out all traffickers nationality known so far in the collected data.,determine range,False,False,False,1,,[]
143,Show the crime lenght ype distribution across the dataset.,determine range,False,True,True,2,focused,"[""bar""]"
144,How wide is the range of recorded incident dates?,determine range,False,False,True,2,focused,"[""line"", ""area""]"
145,What different types of crime reports are in this dataset?,determine range,False,False,True,0,focused,"[""bar""]"
146,Can you provide the range in number of victims per incident?,determine range,False,False,True,1,focused,"[""bar""]"
147,What's the range of confidence levels in these reports?,determine range,False,False,False,1,,[]
148,How varied are the crimes in terms of type?,determine range,True,False,True,1,focused,"[""bar""]"
149,What does the distribution of victim counts look like across different crime types?,characterise distribution,False,False,True,2,informative,"[""bar"", ""rect""]"
150,Can you display how the confidence levels are distributed in the reports?,characterise distribution,True,False,True,0,focused,"[""bar"", ""arc""]"
151,Show me how victim numbers vary between different countries.,characterise distribution,False,False,True,2,informative,"[""geoshape"", ""bar""]"
152,I would like to see the spread of incident dates over the last few years.,characterise distribution,True,False,True,3,focused,"[""line"", ""area""]"
153,What is the distrbution of crimes by victims’ nationality?,characterise distribution,False,True,True,1,informative,"[""bar""]"
154,How is the number of incidents spread across various regions?,characterise distribution,False,False,True,1,informative,"[""geoshape"", ""bar""]"
155,Show the distribuition of crime types.,characterise distribution,False,True,True,0,focused,"[""bar"", ""arc""]"
156,Can you provide a chart representing the varying levels of confidance across reports?,characterise distribution,False,True,True,0,focused,"[""bar""]"
157,Are there many incidents reported from each region or just a few?,characterise distribution,True,False,True,1,informative,"[""geoshape"", ""bar""]"
158,Please chart distribution of incidents by the nationality of the perpetrator.,characterise distribution,False,False,True,1,informative,"[""bar""]"
159,Whata is the prevalance of diffrent crime types?,characterise distribution,False,True,True,0,focused,"[""bar""]"
160,Show me how incidents are distributed over the year.,characterise distribution,False,False,True,1,focused,"[""line"", ""area""]"
161,How frequent are crimes involving large numbers of victims?,characterise distribution,False,False,True,1,focused,"[""bar""]"
162,Provide a visual of how many cases have different confidence ratings.,characterise distribution,False,False,True,0,focused,"[""bar""]"
163,Could you show which region has traffiking cases spread over a long time period?,characterise distribution,True,False,True,4,informative,"[""line"", ""area""]"
164,Illustrate the pattern of victim counts by countries.,characterise distribution,False,False,True,2,informative,"[""geoshape"", ""bar""]"
165,What are the specifics of incident reporting over the recent years?,characterise distribution,True,False,False,3,,[]
166,Where are the majority of these crimes happening?,characterise distribution,False,False,True,1,informative,"[""geoshape""]"
167,How are the types of crime distributed based on victim's nationalities?,characterise distribution,False,False,False,5,,[]
168,Disribution of victim numbers by perpetrator natonality?,characterise distribution,False,True,True,2,informative,"[""bar""]"
169,Show distribution of incidents by types of crimes performed.,characterise distribution,False,False,True,1,focused,"[""bar""]"
170,Regional trends in trafficking type breakdown,characterise distribution,True,False,True,2,informative,"[""rect"", ""bar""]"
171,Can we explore how many incidents are reported over different years?,characterise distribution,False,False,True,2,focused,"[""line""]"
172,Overview of crime types through a histrogram.,characterise distribution,False,True,True,0,focused,"[""bar""]"
173,What kind of trend is seen in trafficking incidents over recent times?,characterise distribution,True,False,True,3,focused,"[""line"", ""area""]"
174,Show me if there are any outliers in victim counts by countries last year?,find anomalies,False,False,True,2,focused,"[""bar"", ""point""]"
175,Can I see any unusual patterns in the perpetrator nationalities reported?,find anomalies,True,False,True,1,informative,"[""bar"", ""point"", ""rect""]"
176,Which type of crimes displays higher than usual victim counts?,find anomalies,False,False,True,2,focused,"[""bar"", ""point""]"
177,Are there spcific regions where incidents of forced labour are uncommonly high?,find anomalies,False,True,True,2,informative,"[""bar"", ""point""]"
178,Find out if any countries have a low victim count that looks unusual.,find anomalies,True,False,True,3,focused,"[""point"", ""bar""]"
179,Show unusual trends in victim count changes over the past five years.,find anomalies,False,False,True,3,informative,"[""line"", ""point"", ""area""]"
180,What are the most unexpected trends in crimes type reported in Asia?,find anomalies,False,False,True,4,informative,"[""bar"", ""point""]"
181,Are anomalies evident in the confidence levels of incident reports?,find anomalies,False,False,True,1,focused,"[""bar"", ""point""]"
182,Identify any abormalities in incidents involving perpetrators from different nations.,find anomalies,False,True,True,3,informative,"[""point"", ""bar""]"
183,Which regions have shown a significant increase in trafficking incidents unexpectedly?,find anomalies,True,False,True,4,informative,"[""line"", ""area""]"
184,Display any unexpected rise in victim count from specific nationalities over time.,find anomalies,False,False,True,4,informative,"[""line"", ""point""]"
185,Are there any anomalies in the distribution of crime types across different countries?,find anomalies,False,False,True,3,informative,"[""rect"", ""bar""]"
186,Examine for any unusual trends in incidents with low confidence ratings.,find anomalies,True,False,True,2,focused,"[""bar"", ""point""]"
187,Which regions report a surprisingly high number of exploitation cases?,find anomalies,True,False,True,2,informative,"[""bar""]"
188,Demonstrate any unexpected patterns in victim statistics by nationality.,find anomalies,False,False,True,3,informative,"[""bar""]"
189,Evaluate outliers in trafficking reports by location countries over the recent years.,find anomalies,False,False,True,3,informative,"[""line"", ""bar"", ""point""]"
190,Is there an unusual distribution of crime types reported from various regions?,find anomalies,False,False,True,2,informative,"[""rect""]"
191,"Show me if there have been any outlier incidents reported in the last year, based on the type of crime.",find anomalies,False,False,True,5,informative,"[""line""]"
192,Can we check for unusual victim counts for the past five years?,find anomalies,True,False,True,2,focused,"[""line"", ""point""]"
193,What is the total amount of money reported stollen in human trafficking crimes?,find anomalies,False,False,False,2,,[]
194,Are there any anomalies in the durations of incidents reported?,find anomalies,False,False,False,1,,[]
195,Determine if ther are any exceptional crime types unusually reported from specific countries.,find anomalies,False,True,True,3,informative,"[""rect"", ""bar""]"
196,Highlight any seeming anomalies in incidents where the perpetrator’s nationality is known.,find anomalies,True,False,True,3,informative,"[""bar"", ""point""]"
197,Reviw any aberrant patterns in incidents classified with high confidence.,find anomalies,False,True,True,2,focused,"[""bar"", ""point""]"
198,Can you show if cases of trafficking originate more from specific countries or regions?,cluster,True,False,True,2,informative,"[""geoshape"", ""bar""]"
199,What similarities can be found in the number of victims per crime type?,cluster,False,False,True,1,focused,"[""bar"", ""point""]"
200,Are there any common victim nationalities among different crime types?,cluster,False,True,True,2,informative,"[""bar"", ""point""]"
201,Identifey the clusters of perpetrator nationalities across high confidence incidents.,cluster,False,True,True,2,informative,"[""bar"", ""rect""]"
202,What are the patterns in location countries with regards to increasing incident reports?,cluster,True,False,True,3,informative,"[""line"", ""geoshape""]"
203,Show me where different types of crimes cluster within Asia regarding victim count.,cluster,False,False,True,4,informative,"[""geoshape"", ""bar""]"
204,Do we see similiar trends in victim counts over the last year?,cluster,False,True,True,1,focused,"[""line"", ""area""]"
205,Whcih countries report related kinds of crime together?,cluster,False,True,True,2,focused,"[""bar""]"
206,Can we identify any clustering in incident types along the coastal regions?,cluster,True,False,True,2,focused,"[""bar"", ""geoshape""]"
207,"Examine the connection between perpetrator and victim nationalities, are there patterns?",cluster,False,False,True,2,informative,"[""point"", ""bar""]"
208,Are there clusters of countries based on the number of incidents reported in the last few years?,cluster,True,False,True,3,focused,"[""geoshape"", ""bar""]"
209,Highlight the correlation between location regions and types of crimes reported.,cluster,False,False,True,2,informative,"[""bar"", ""geoshape""]"
210,Cluster incidents by dates they were reported and types of crimes involved.,cluster,False,False,True,3,informative,"[""rect"", ""point""]"
211,Are there groupings of incidents based on victim nationalities?,cluster,False,False,True,1,focused,"[""bar""]"
212,Find common links between high-confidence trafficking cases and perpetrator origins.,cluster,True,False,True,2,focused,"[""bar"", ""point""]"
213,Tell me about patterns in incident dates and locations.,cluster,False,False,True,4,informative,"[""line"", ""geoshape""]"
214,Show the concentration of different crimes across various regions over recent years.,cluster,True,False,True,3,informative,"[""bar"", ""line""]"
215,Identify clustering of cases by victim count and incident type across different regions.,cluster,False,False,True,4,informative,"[""rect""]"
216,Are there any clusters of specific types of trafficking originatign from particular countries?,cluster,True,True,True,3,informative,"[""bar"", ""geoshape""]"
217,What are the common perpetrator nationalities found in various types of trafficking incidents?,cluster,False,False,True,1,focused,"[""bar""]"
218,Show how different types of crimes cluster by number of victims and incident locations.,cluster,False,False,True,5,informative,"[""rect""]"
219,What similarities can be identified between the location and type of trafficking reports?,cluster,False,False,True,2,focused,"[""bar"", ""geoshape""]"
220,Can you analyize the distribution of trafficking incidents compared over continents?,cluster,True,True,False,0,,[]
221,Identify clusters of crime types based on the day of the week the incident was reported.,cluster,False,False,False,0,,[]
222,Show linkage between victim's profession and type of trafficking.,cluster,False,False,False,0,,[]
223,Can you show if cases of trafficking originate more from specific countries or regions?,cluster,True,False,True,2,informative,"[""geoshape"", ""bar""]"
224,What similarities can be found in the number of victims per crime type?,cluster,False,False,True,1,focused,"[""bar"", ""point""]"
225,Are there any common victim nationalities among different crime types?,cluster,False,True,True,2,informative,"[""bar"", ""point""]"
226,Identifey the clusters of perpetrator nationalities across high confidence incidents.,cluster,False,True,True,2,informative,"[""bar"", ""rect""]"
227,What are the patterns in location countries with regards to increasing incident reports?,cluster,True,False,True,3,informative,"[""line"", ""geoshape""]"
228,Show me where different types of crimes cluster within Asia regarding victim count.,cluster,False,False,True,4,informative,"[""geoshape"", ""bar""]"
229,Do we see similiar trends in victim counts over the last year?,cluster,False,True,True,1,focused,"[""line"", ""area""]"
230,Whcih countries report related kinds of crime together?,cluster,False,True,True,2,focused,"[""bar""]"
231,Can we identify any clustering in incident types along the coastal regions?,cluster,True,False,True,2,focused,"[""bar"", ""geoshape""]"
232,"Examine the connection between perpetrator and victim nationalities, are there patterns?",cluster,False,False,True,2,informative,"[""point"", ""bar""]"
233,Are there clusters of countries based on the number of incidents reported in the last few years?,cluster,True,False,True,3,focused,"[""geoshape"", ""bar""]"
234,Highlight the correlation between location regions and types of crimes reported.,cluster,False,False,True,2,informative,"[""bar"", ""geoshape""]"
235,Cluster incidents by dates they were reported and types of crimes involved.,cluster,False,False,True,3,informative,"[""rect"", ""point""]"
236,Are there groupings of incidents based on victim nationalities?,cluster,False,False,True,1,focused,"[""bar""]"
237,Find common links between high-confidence trafficking cases and perpetrator origins.,cluster,True,False,True,2,focused,"[""bar"", ""point""]"
238,Tell me about patterns in incident dates and locations.,cluster,False,False,True,4,informative,"[""line"", ""geoshape""]"
239,Show the concentration of different crimes across various regions over recent years.,cluster,True,False,True,3,informative,"[""bar"", ""line""]"
240,Identify clustering of cases by victim count and incident type across different regions.,cluster,False,False,True,4,informative,"[""rect""]"
241,Are there any clusters of specific types of trafficking originatign from particular countries?,cluster,True,True,True,3,informative,"[""bar"", ""geoshape""]"
242,What are the common perpetrator nationalities found in various types of trafficking incidents?,cluster,False,False,True,1,focused,"[""bar""]"
243,Show how different types of crimes cluster by number of victims and incident locations.,cluster,False,False,True,5,informative,"[""rect""]"
244,What similarities can be identified between the location and type of trafficking reports?,cluster,False,False,True,2,focused,"[""bar"", ""geoshape""]"
245,Can you analyize the distribution of trafficking incidents compared over continents?,cluster,True,True,False,0,,[]
246,Identify clusters of crime types based on the day of the week the incident was reported.,cluster,False,False,False,0,,[]
247,Show linkage between victim's profession and type of trafficking.,cluster,False,False,False,0,,[]
